year,month,avtemp,mxtemp
2014,2,-28.40392857,-24.68964286
2014,3,-27.39483871,-22.96483871
2014,4,-19.66333333,-13.1631
2014,5,-4.840580645,1.005741935
2014,6,3.244666667,6.3705
2014,7,7.359870968,10.64393548
2014,8,4.524741935,7.975225806
2014,9,-4.710133333,-1.4936
2014,10,-14.64229032,-12.07103226
2014,11,-20.3545,-16.58723333
2014,12,-27.51193548,-23.76483871
2015,1,-24.44419355,-19.90709677
2015,2,-31.56178571,-28.07821429
2015,3,-28.90677419,-24.77483871
2015,4,-21.45266667,-15.62563333
2015,5,-8.650903226,-2.499806452
2015,6,4.3249,8.0409
2015,7,7.339032258,11.0186129
2015,8,3.580516129,6.463645161
2015,9,-5.148033333,-1.421833333
2015,10,-14.13022581,-11.24425806
2015,11,-23.56066667,-19.95433333
2015,12,-30.44903226,-26.08064516
2016,1,-26.06129032,-21.62193548
2016,2,-26.86413793,-21.99931034
2016,3,-28.23354839,-23.83806452
2016,4,-18.64433333,-12.9145
2016,5,-7.006193548,-0.410806452
2016,6,4.534133333,8.9923
2016,7,8.19616129,11.45516129
2016,8,5.267833333,8.7771
2016,9,-3.6703,-0.624333333
2016,10,-16.99870968,-13.9806129
2016,11,-18.78073333,-15.69983333
2016,12,-25.71741935,-21.57612903
2017,1,-28.99774194,-24.72741935
2017,2,-28.13892857,-23.88071429
2017,3,-29.48645161,-25.28870968
2017,4,-18.67433333,-12.75573333
2017,5,-5.818225806,0.264258065
2017,6,2.869766667,7.539433333
2017,7,6.638870968,10.00087097
2017,8,2.892774194,6.019258065
2017,9,-7.757166667,-4.124966667
2017,10,-15.44322581,-12.99380645
2017,11,-23.03733333,-19.13766667
2017,12,-20.66032258,-17.31935484
2018,1,-24.86612903,-20.75774194
2018,2,-24.26607143,-18.87428571
2018,3,-29.64709677,-25.54709677
2018,4,-21.20933333,-15.37596667
2018,5,-8.215967742,-1.49016129
2018,6,2.6643,7.2445
2018,7,5.176846154,8.406
